document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
orix_2025_12,RSウイルス感染症,アールエスウイルスカンセンショウ,43,43,傷病名索引,,1
orix_2025_12,IgA腎症,アイジーエージンショウ,82,82,傷病名索引,,2
orix_2025_12,悪性腫瘍,アクセイシュヨウ,44,44,傷病名索引,,3
orix_2025_12,悪性貧血,アクセイヒンケツ,56,56,傷病名索引,,4
orix_2025_12,悪性リンパ腫,アクセイリンパシュ,44,44,傷病名索引,,5
orix_2025_12,アトピー性皮膚炎,アトピーセイヒフエン,52,52,傷病名索引,,6
orix_2025_12,アルコール依存症,アルコールイゾンショウ,58,58,傷病名索引,,7
orix_2025_12,胃潰瘍,イカイヨウ,76,76,傷病名索引,,8
orix_2025_12,一過性脳虚血発作(TIA),イッカセイノウキョケツホッサ（ティーアイエー）,62,62,傷病名索引,,9
orix_2025_12,うつ病,ウツビョウ,59,59,傷病名索引,,10
